property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities_count,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,availability_30,availability_60,availability_90,availability_365,instant_bookable,host_identity_verified,host_since,cancellation_policy,latitude,longitude,guests_included,extra_people,price
House,Entire home/apt,3,4,1,1,24,8,697,10,5,3.9,22,4,86,73,0,1,3412,flexible,40.68284038,-73.76481166,3,49,336
Loft,Entire home/apt,4,4,2,1,39,6,642,11,3,1.3,16,9,82,343,0,0,954,flexible,40.62196773,-73.9892149,1,6,366
Condominium,Entire home/apt,4,1,2,2,7,6,645,15,NA,4.1,28,1,52,146,1,1,1359,moderate,40.62004815,-73.87040723,3,38,199
House,Entire home/apt,3,1,2,2,33,9,743,8,5,4.3,18,47,26,210,0,1,983,strict_14_with_grace_period,40.76187098,-73.93555838,2,21,235
Apartment,Entire home/apt,3,1,2,2,12,3,510,9,2,3.4,25,16,56,44,1,1,2274,strict,40.77487775,-73.74971085,2,23,195
House,Private room,2,2,2,2,35,6,920,13,1,1.9,30,13,36,243,0,1,3492,flexible,40.85951831,-73.70892387,3,43,349
Bed & Breakfast,Entire home/apt,5,1,3,4,35,8,99,11,1,3.6,12,57,66,286,1,1,2382,flexible,40.89215133,-73.90075968,1,15,296
Condominium,Entire home/apt,2,2,3,2,44,8,305,14,2,1.1,22,7,72,108,0,0,1965,strict,40.8094179,-73.89839278,1,31,285
Bed & Breakfast,Entire home/apt,7,4,1,1,10,7,969,9,4,4.3,8,55,88,249,1,1,3182,moderate,40.82513249,-73.96057395,1,2,320
House,Private room,4,4,5,5,9,8,431,6,4,3.9,26,41,5,349,0,1,381,strict_14_with_grace_period,40.57321565,-73.84230846,4,35,434
Loft,Shared room,7,2,2,2,35,8,515,3,1,3,27,51,55,57,0,1,2826,strict_14_with_grace_period,40.55546427,-73.82682344,3,5,243
Loft,Entire home/apt,2,4,4,3,43,6,578,6,4,1.5,20,5,75,307,1,1,1040,strict,40.61211631,-73.82097106,1,45,366
Bed & Breakfast,Private room,9,3,4,3,5,1,907,5,3,2.2,10,18,7,296,1,1,3080,strict,40.51711763,-73.94985823,4,28,349
House,Private room,1,1,2,2,19,6,217,9,4,4.9,8,7,82,112,1,1,47,flexible,40.85211748,-73.74006605,1,27,160
Townhouse,Private room,2,3,1,1,5,4,665,18,4,0.1,21,6,83,172,1,0,2741,moderate,40.71154156,-73.97378598,4,13,214
Loft,Shared room,9,1,4,3,28,6,505,10,4,1.2,30,15,27,170,1,1,390,strict_14_with_grace_period,40.55451655,-73.70486095,1,34,349
Townhouse,Entire home/apt,1,2,1,1,36,1,189,10,4,3.6,24,57,53,121,1,1,3319,moderate,40.76354939,-73.78110627,1,5,288
Loft,Entire home/apt,4,4,3,4,26,5,138,7,2,1.1,10,58,67,321,0,0,3416,strict_14_with_grace_period,40.59199557,-73.90385478,2,22,194
House,Entire home/apt,7,4,4,5,27,8,822,10,4,1.3,9,57,23,260,1,1,3631,moderate,40.55897446,-73.9631634,2,25,432
House,Private room,2,3,1,2,36,5,39,8,1,0.7,22,35,90,268,0,0,2036,strict,40.86084346,-73.84352701,3,23,324
Condominium,Shared room,7,4,3,2,8,4,625,12,4,2.9,8,23,38,346,0,1,196,strict,40.61589882,-73.88863156,4,24,319
Apartment,Entire home/apt,1,1,5,5,27,5,540,11,3,0.6,3,42,17,221,1,1,182,strict_14_with_grace_period,40.85653808,-73.85904061,3,49,210
Townhouse,Entire home/apt,8,3,3,4,17,5,817,12,2,1.4,18,11,7,150,1,0,3226,strict_14_with_grace_period,40.59410092,-73.93759987,3,1,454
House,Entire home/apt,1,1,5,4,31,8,397,7,2,0.1,11,25,37,180,1,0,1124,strict,40.71791971,-73.96477993,1,33,347
House,Entire home/apt,2,2,5,5,28,5,893,16,1,0.4,26,1,13,61,0,1,2026,strict_14_with_grace_period,40.59820311,-73.76622936,1,1,422
Bed & Breakfast,Entire home/apt,5,1,3,2,15,5,764,19,2,0.1,11,32,35,44,1,0,2566,strict,40.73556586,-73.84146085,2,16,187
Bed & Breakfast,Entire home/apt,4,1,5,5,24,2,974,9,1,0,7,15,72,187,0,0,3032,strict,40.62663298,-73.88226446,1,13,336
House,Private room,8,4,4,3,30,3,616,5,3,3.6,7,58,37,171,1,1,270,strict,40.75826134,-73.8261747,4,25,398
Loft,Entire home/apt,7,3,3,4,14,3,166,7,3,2.7,4,30,59,214,1,1,2367,moderate,40.88918199,-73.84816199,4,26,319
Condominium,Entire home/apt,8,2,2,2,39,9,62,7,2,4.1,15,0,74,183,0,1,2102,strict,40.56235148,-73.92265795,2,16,322
Bed & Breakfast,Entire home/apt,6,1,2,3,17,5,1084,11,4,4.4,30,59,11,31,0,1,2146,flexible,40.58491873,-73.73804725,3,31,228
Townhouse,Entire home/apt,4,3,5,5,9,6,651,13,1,5,16,28,24,264,0,0,218,strict,40.81739504,-73.7893687,2,11,376
House,Private room,5,4,3,4,31,9,373,4,4,2.5,27,39,31,96,0,1,912,strict,40.86496549,-73.92300807,4,24,197
Bed & Breakfast,Entire home/apt,2,3,1,1,35,7,882,8,2,3.8,26,59,22,73,1,1,2475,moderate,40.81380947,-73.79266787,2,22,245
House,Entire home/apt,8,2,5,5,38,8,645,10,2,4.2,5,56,45,309,1,1,1913,flexible,40.73093906,-73.92663744,1,42,484
House,Private room,7,2,3,4,47,3,1106,12,3,3.2,0,10,7,38,0,1,3204,strict,40.83666252,-73.75619754,1,29,387
Townhouse,Entire home/apt,3,4,4,5,NA,6,713,14,3,4.8,25,34,18,123,1,1,NA,moderate,40.61912481,-73.78473712,3,19,375
Apartment,Entire home/apt,3,2,2,3,9,6,711,10,3,0.1,30,35,80,291,1,1,173,flexible,40.81111273,-73.93307046,3,12,160
Apartment,Entire home/apt,9,1,4,3,15,2,674,5,1,1.1,23,41,67,263,0,1,2148,moderate,40.74315191,-73.70647925,1,45,269
Loft,Entire home/apt,7,2,2,1,8,7,829,15,1,4.5,30,27,32,299,0,1,1304,flexible,40.63219462,-73.76987389,3,7,268
Townhouse,Entire home/apt,2,2,4,4,16,9,812,12,1,2.2,10,56,66,222,1,1,2388,moderate,40.87415039,-73.73882727,1,36,321
House,Private room,6,4,2,1,26,6,1033,NA,4,4.8,18,39,35,118,0,0,1771,strict,40.75151354,-73.75357821,2,0,347
Apartment,Entire home/apt,4,1,4,4,14,6,309,NA,2,1.4,8,6,53,172,1,1,2144,strict_14_with_grace_period,40.84856401,-73.74439073,4,38,192
Townhouse,Entire home/apt,5,3,5,5,6,8,254,14,5,1.3,21,33,74,NA,1,0,2187,moderate,40.57631162,-73.95715895,3,23,278
Loft,Entire home/apt,4,2,5,4,21,4,288,11,4,2.5,24,38,46,10,0,0,1303,flexible,40.66652941,-73.90523334,1,16,356
Loft,Entire home/apt,1,1,5,4,36,5,1028,12,3,3.3,28,19,82,180,0,1,60,moderate,40.59315045,-73.7665418,2,41,270
Apartment,Entire home/apt,4,4,2,2,12,5,445,5,2,1,20,42,65,44,1,1,1874,moderate,40.64599708,-73.86106253,4,36,355
Condominium,Entire home/apt,6,2,5,5,42,5,599,11,2,0.5,15,40,83,130,1,1,694,strict,40.50230484,-73.9996789,1,10,328
Condominium,Private room,2,3,4,4,17,7,619,10,5,0.8,22,57,42,195,1,1,1923,strict,40.69896438,-73.8432696,2,20,323
Townhouse,Entire home/apt,3,3,5,5,25,4,588,6,2,1.5,8,20,23,66,1,1,1028,moderate,40.86181624,-73.79067278,3,14,442
Townhouse,Entire home/apt,4,4,4,4,13,4,786,8,4,1.8,1,59,78,239,0,0,2796,strict,40.61266563,-73.95822007,1,6,348
Loft,Private room,9,4,2,1,46,6,46,7,3,2,3,48,57,348,1,1,235,strict_14_with_grace_period,40.57786894,-73.71525215,2,42,-304
Bed & Breakfast,Entire home/apt,8,3,1,1,13,8,315,10,5,4.3,30,34,21,49,0,1,367,moderate,40.63777257,-73.93991678,4,33,297
Townhouse,Entire home/apt,9,4,4,5,47,5,618,15,4,1.3,8,6,84,4,0,1,3085,strict,40.5470151,-73.89828215,2,26,432
Loft,Entire home/apt,2,2,3,2,43,8,720,18,1,1.2,14,59,58,29,0,1,1144,moderate,40.7690868,-73.76910869,4,45,312
Bed & Breakfast,Private room,7,2,NA,6,46,9,214,17,NA,2.1,20,60,73,299,0,1,303,flexible,40.74950568,-73.85332443,4,40,323
House,Entire home/apt,9,3,1,1,34,8,374,4,1,1.5,29,14,49,153,0,1,3503,strict,40.73096586,-73.87063752,4,14,363
House,Entire home/apt,9,2,3,2,34,6,557,5,1,NA,29,20,86,225,0,1,52,moderate,40.5486358,-73.99487117,2,22,348
Apartment,Entire home/apt,8,1,4,4,5,7,691,10,4,1.7,26,12,14,142,1,0,2296,strict_14_with_grace_period,40.81328287,-73.95094978,1,37,259
House,Entire home/apt,2,1,3,2,27,3,43,9,2,3.4,30,25,72,258,0,0,2499,strict,40.75688666,-73.80443497,3,45,295
Townhouse,Entire home/apt,1,2,4,5,37,5,78,11,2,0.5,27,28,16,20,0,1,1143,moderate,40.80740661,-73.73190854,3,43,257
Bed & Breakfast,Entire home/apt,6,1,5,4,43,8,1111,13,1,0.5,22,34,24,289,1,1,55,moderate,40.76202488,-73.78203909,3,41,306
Townhouse,Entire home/apt,3,1,4,5,15,6,417,10,1,1.1,7,14,87,128,0,1,722,strict_14_with_grace_period,40.66124022,-73.90647938,3,19,267
Loft,Entire home/apt,3,3,3,3,24,1,92,13,2,0.7,21,17,15,295,1,1,3594,flexible,40.5336384,-73.96867726,2,17,314
Apartment,Entire home/apt,1,1,2,3,10,2,756,10,1,0.9,27,29,51,183,0,1,1985,moderate,40.53597365,-73.82372788,4,19,214
Loft,Entire home/apt,9,NA,1,2,14,1,627,12,3,2.7,24,36,46,60,0,1,3229,strict,40.8176691,-73.70483092,4,9,336
House,Hotel room,6,3,3,2,45,1,892,9,2,0.5,29,13,24,106,1,0,1920,flexible,40.78222635,-73.72097952,2,28,384
House,Entire home/apt,6,2,1,1,30,6,747,10,4,1.2,29,16,52,272,0,1,2127,moderate,40.55497169,-73.84166937,4,19,315
Condominium,Private room,8,4,1,1,45,2,1077,9,3,2.8,22,6,82,224,1,1,2817,strict,40.60705971,-73.93971297,3,31,456
Townhouse,Entire home/apt,3,4,1,2,12,5,400,10,5,4.6,17,40,71,152,1,1,940,strict,40.53956585,-73.95634088,4,32,352
Townhouse,Entire home/apt,9,2,4,4,11,1,265,10,4,1.9,15,49,89,2,1,1,2264,strict_14_with_grace_period,40.63265808,-73.99696991,1,13,398
Bed & Breakfast,Private room,7,4,1,1,19,5,1085,11,2,1.3,13,16,79,159,0,1,3414,moderate,40.52276585,-73.73251286,2,49,406
Condominium,Entire home/apt,6,4,1,1,43,2,867,10,4,1.6,8,16,73,92,0,1,3180,strict,40.63127468,-73.8155014,3,5,443
Bed & Breakfast,Entire home/apt,2,3,5,6,37,8,570,7,5,1.5,24,33,0,138,0,1,3219,moderate,40.52163638,-73.77937906,3,0,375
Loft,Entire home/apt,3,2,4,3,33,3,553,6,3,4.6,14,6,10,136,0,1,3075,moderate,40.78499706,-73.83143808,4,32,341
Townhouse,Entire home/apt,7,1,5,4,24,3,1074,16,3,4.4,17,50,54,31,0,1,3369,strict,40.74918853,-73.94224981,2,15,346
Apartment,Entire home/apt,9,4,1,2,41,7,534,5,3,1.6,17,32,19,217,1,0,2747,strict,40.83118936,-73.75355935,1,19,407
Loft,Entire home/apt,8,1,3,4,43,9,1066,15,3,1,26,17,12,146,0,0,3595,strict,40.60786436,-73.83420731,1,27,412
Apartment,Private room,6,4,1,1,38,3,1058,13,2,1.5,22,17,1,144,1,1,3593,flexible,40.89739958,-73.88178197,1,5,429
Apartment,Entire home/apt,1,3,4,4,42,9,1006,8,3,1.2,1,12,68,99,0,0,1148,strict,40.75988028,-73.80835982,4,18,276
Townhouse,Entire home/apt,3,1,2,3,19,6,986,12,3,0.2,29,51,70,50,1,1,3503,flexible,40.551242,-73.91625748,1,33,241
Bed & Breakfast,Entire home/apt,5,1,3,2,11,8,114,10,2,3.5,3,26,50,347,0,1,269,strict_14_with_grace_period,40.57110986,-73.82098398,2,28,256
Condominium,Entire home/apt,8,3,4,5,43,3,449,8,4,4.1,17,3,65,137,1,0,2197,strict,40.70375758,-73.84433528,1,25,422
Apartment,Entire home/apt,7,1,3,2,22,3,528,11,3,4.9,1,30,30,75,0,1,3274,flexible,40.56801809,-73.71782419,2,12,229
House,Entire home/apt,9,3,3,3,16,9,308,10,2,3,14,15,80,224,1,1,693,strict,40.63254714,-73.79915486,3,35,296
Townhouse,Entire home/apt,9,4,1,1,25,1,850,NA,1,0.8,2,10,65,285,0,1,65,strict,40.88550144,-73.82346707,2,38,389
Bed & Breakfast,Entire home/apt,NA,2,1,1,31,4,1085,8,1,2.7,17,22,46,262,1,1,1515,strict,40.81555952,-73.81601734,1,48,247
Apartment,NA,9,4,1,1,44,4,703,8,3,2.6,6,46,79,172,0,1,2202,strict_14_with_grace_period,40.57024702,-73.88900372,3,17,333
Townhouse,Entire home/apt,6,4,2,3,47,5,166,8,2,3.6,7,14,49,307,1,1,2822,moderate,40.71940693,-73.95069187,3,16,382
Bed & Breakfast,Entire home/apt,5,2,44,1,45,9,571,12,2,3,18,44,8,146,1,1,382,strict_14_with_grace_period,40.81599907,-73.96297454,3,40,294
Townhouse,Entire home/apt,5,4,3,4,5,7,250,11,3,3.5,27,9,47,184,0,1,751,flexible,40.59185525,-73.72993323,2,23,337
Apartment,Entire home/apt,9,2,2,3,36,9,753,12,5,3.8,28,58,17,335,0,1,78,flexible,40.51785912,-73.88607826,4,37,247
House,Entire home/apt,1,1,2,3,12,6,827,8,3,1.1,17,47,35,84,1,1,506,strict,40.65536681,-73.87716844,2,48,99
Condominium,Entire home/apt,8,3,5,4,14,7,519,8,2,5,29,22,82,49,0,0,820,strict,40.65387804,-73.8697963,2,23,407
House,Entire home/apt,2,2,4,5,7,7,730,25,4,4.7,27,51,9,187,1,1,111,strict_14_with_grace_period,40.77459954,-73.91305804,4,23,287
House,Entire home/apt,3,1,1,1,12,8,798,11,4,4.5,18,49,7,293,0,1,3645,strict,40.53593521,-73.81809218,1,31,236
Apartment,Entire home/apt,8,2,2,3,18,3,813,16,2,1.5,13,41,70,357,1,1,3486,moderate,40.69240241,-73.82727954,4,35,286
Condominium,Entire home/apt,3,4,3,4,40,1,151,11,4,2.8,9,32,28,183,0,1,741,flexible,40.57447985,-73.75394117,3,10,225
Apartment,Entire home/apt,9,4,1,1,18,2,388,10,3,1.2,2,21,71,314,1,1,1308,flexible,40.63922292,-73.98996775,3,44,294
Townhouse,Entire home/apt,9,3,1,2,28,2,806,11,2,4.6,28,14,73,264,1,1,2317,strict,40.87737608,-73.81871514,2,18,370
Apartment,Entire home/apt,4,4,4,5,31,5,259,10,2,1.1,1,58,58,259,0,1,3394,strict_14_with_grace_period,40.88894263,-73.80503024,4,45,388
Condominium,Entire home/apt,2,3,2,3,47,7,789,8,3,3.6,26,23,37,320,0,NA,932,strict,40.6765207,-73.92680152,4,34,416
Apartment,Entire home/apt,6,4,3,2,13,5,1063,11,2,0.2,21,27,45,238,0,1,3299,strict,40.87094567,-73.75678531,4,14,315
Bed & Breakfast,Private room,9,4,2,3,16,4,216,12,2,1.7,29,16,84,62,0,1,2302,flexible,40.84187416,-73.77172198,2,37,328
Bed & Breakfast,Entire home/apt,5,4,4,3,42,6,331,5,5,3.6,0,46,44,77,0,1,2354,moderate,40.82292832,-73.98923316,2,17,424
Bed & Breakfast,Entire home/apt,1,1,1,1,14,7,545,9,2,2.2,25,18,79,71,NA,1,154,strict_14_with_grace_period,40.84176469,-73.99796359,2,32,199
Condominium,Private room,7,2,1,1,18,3,226,11,2,1.5,25,28,34,290,1,1,2451,moderate,40.76879777,-73.89054914,4,12,251
Castle,Entire home/apt,7,4,4,3,33,3,40,7,2,1,13,31,19,237,0,1,3194,strict_14_with_grace_period,40.89172786,-73.71696629,1,2,281
Townhouse,Entire home/apt,4,3,5,4,24,7,839,8,4,3.5,26,33,68,268,0,1,1664,moderate,40.72204521,-73.91881529,1,24,405
Apartment,Hotel room,9,4,3,4,48,5,316,6,2,0.1,28,46,40,275,1,1,2443,flexible,40.6416265,-73.79659661,1,4,NA
Bed & Breakfast,Private room,7,4,2,2,40,6,205,9,1,0.2,13,31,82,200,1,1,2217,strict_14_with_grace_period,40.65876269,-73.79630777,3,38,388
Apartment,Entire home/apt,3,1,2,2,34,2,128,10,2,2.6,3,15,66,334,1,1,462,strict,40.84592394,-73.72785537,1,11,305
House,Hotel room,5,3,1,1,40,3,814,8,4,1.6,14,16,25,84,0,1,31,strict,40.8201253,-73.7117737,2,9,363
House,Entire home/apt,9,3,4,4,23,1,832,5,4,1.1,26,31,23,242,1,1,2722,moderate,40.65832453,-73.7693261,4,5,478
Bed & Breakfast,Entire home/apt,9,2,4,5,32,4,506,6,1,2.9,25,42,31,151,1,0,644,strict,40.66914141,-73.94114436,1,17,352
Bed & Breakfast,Private room,2,4,1,2,49,8,499,10,4,2.2,1,59,85,212,1,1,3077,moderate,40.51741662,-73.83135487,1,31,403
Bed & Breakfast,Private room,7,3,4,3,42,2,362,6,5,1,21,28,51,354,0,1,2803,flexible,40.52259448,-73.96877402,3,3,370
Bed & Breakfast,Entire home/apt,8,4,4,4,47,6,1011,13,1,4.5,27,45,6,142,1,0,1790,strict_14_with_grace_period,40.66818127,-73.92535403,4,9,400
Bed & Breakfast,Shared room,4,2,2,2,22,4,221,12,2,4.2,19,32,71,150,0,1,1995,strict_14_with_grace_period,40.74042471,-73.95983083,4,29,151
Loft,Shared room,3,2,4,5,19,2,167,8,5,0.4,1,59,74,2,0,1,1281,strict,40.72023332,-73.71754807,3,11,283
Loft,Private room,1,3,1,1,15,1,821,11,3,0.1,4,41,62,98,0,1,903,flexible,40.6507878,-73.83667641,3,47,206
House,Entire home/apt,1,4,2,2,28,3,593,6,4,4.4,11,50,62,216,1,1,1837,flexible,40.86034733,-73.7262851,4,27,246
House,Entire home/apt,3,1,3,3,40,7,967,10,5,1.9,21,56,35,50,1,1,947,moderate,40.57622902,-73.91948456,4,23,301
Loft,Entire home/apt,5,4,1,1,49,2,185,15,2,4.8,26,2,27,150,1,1,1086,strict_14_with_grace_period,40.61345028,-73.92404745,4,14,335
Bed & Breakfast,Hotel room,6,1,3,4,12,3,207,8,4,2.9,22,44,64,191,1,1,3138,strict_14_with_grace_period,40.54594596,-73.93867355,4,49,290
Loft,Entire home/apt,1,1,2,3,38,2,118,10,4,1.1,28,37,55,76,0,1,3484,strict,40.87352325,-73.94987394,4,38,235
House,Entire home/apt,3,1,5,6,49,8,298,12,2,0.6,10,45,18,22,0,1,1105,flexible,40.84501186,-73.9111631,3,37,353
Apartment,Entire home/apt,7,3,1,1,46,4,820,13,1,4.2,23,35,75,169,1,1,2920,strict,40.64882229,-73.84523418,3,10,369
Apartment,Entire home/apt,5,2,2,3,41,4,192,5,2,1.2,23,12,3,209,0,1,2230,strict,40.7470369,-73.89974544,3,23,291
House,Shared room,2,4,1,1,46,2,1080,5,2,0.3,29,59,74,287,1,0,3649,moderate,40.62760147,-73.89905368,4,40,328
House,Entire home/apt,7,3,1,1,48,4,191,9,4,0.7,7,2,0,55,0,1,2316,flexible,40.50786082,-73.80439758,4,36,419
Apartment,Entire home/apt,9,2,3,4,17,8,889,7,3,4.5,10,51,62,58,1,1,1538,moderate,40.57688731,-73.90596733,2,43,322
Loft,Entire home/apt,8,3,4,4,20,6,998,9,2,2.8,19,31,18,334,0,0,2685,strict_14_with_grace_period,40.70724659,-73.82270276,4,24,440
Condominium,Entire home/apt,2,2,5,6,39,8,957,8,4,3.3,25,49,16,61,0,1,2892,moderate,40.69959683,-73.77223011,1,11,413
Townhouse,Private room,7,4,5,6,17,8,895,15,2,3.8,2,54,50,156,0,0,468,moderate,40.80955848,-73.74631464,2,12,228
Bed & Breakfast,Entire home/apt,7,1,2,2,49,9,235,13,5,2.8,13,4,67,0,1,0,690,strict,40.58169891,-73.95676133,3,42,410
Bed & Breakfast,Private room,4,3,4,4,35,6,908,6,2,0.9,14,32,47,229,1,1,164,flexible,40.52814282,-73.86458385,2,26,372
House,Shared room,8,3,5,4,30,9,767,6,4,1.9,12,41,36,187,1,NA,742,strict,40.56724049,-73.74887638,4,19,447
Loft,Entire home/apt,3,4,3,4,39,7,125,9,1,4.5,8,NA,71,181,0,1,1048,moderate,40.58365268,-73.97000831,1,7,377
House,Private room,4,2,2,1,12,1,1081,11,3,4.2,15,46,49,221,0,1,2464,strict,40.70755682,-73.98469846,4,44,240
Condominium,Entire home/apt,2,3,1,1,17,3,373,11,4,0.7,20,24,0,308,0,1,2576,strict,40.57127244,-73.81617881,1,37,288
House,Entire home/apt,4,1,3,3,48,2,985,14,1,3.3,12,29,43,342,1,1,1192,strict,40.61811921,-73.71100217,1,19,298
Apartment,Shared room,8,3,2,2,26,5,774,5,3,NA,25,7,32,35,0,1,1600,strict,40.60331001,-73.94470708,1,40,422
Loft,Entire home/apt,5,2,2,3,8,3,1008,13,3,4.3,30,20,86,232,0,1,1447,flexible,40.5229612,-73.76202773,4,37,217
Bed & Breakfast,Entire home/apt,6,4,3,4,46,2,524,16,3,2.1,29,5,52,193,1,1,948,strict,40.62473419,-73.76473116,2,26,313
Townhouse,Entire home/apt,6,2,5,4,14,4,455,10,1,4.8,0,7,55,167,1,1,936,strict_14_with_grace_period,40.87616651,-73.77959948,1,31,366
House,Entire home/apt,9,4,2,3,NA,6,689,11,5,3.3,27,22,87,247,1,0,95,strict_14_with_grace_period,40.84038699,-73.80146718,3,13,442
Apartment,Entire home/apt,6,2,5,5,31,8,849,13,4,4.3,30,32,72,335,1,1,2241,strict_14_with_grace_period,40.53558884,-73.97814502,4,45,335
Apartment,Entire home/apt,7,3,3,4,24,4,347,13,1,1.1,17,33,21,48,0,0,463,flexible,40.87299333,-73.71563045,2,15,308
Townhouse,Entire home/apt,4,4,1,1,10,NA,565,12,3,2.3,22,35,5,192,1,1,3573,strict_14_with_grace_period,40.79087517,-73.82139447,4,18,325
Condominium,Entire home/apt,5,2,5,5,23,1,106,11,5,3.8,11,10,8,105,0,1,348,strict_14_with_grace_period,40.78978857,-73.99034313,4,40,376
Bed & Breakfast,Entire home/apt,1,2,3,NA,48,9,808,6,3,1.5,15,16,56,191,1,1,2876,moderate,40.636465,-73.97486299,2,48,254
Bed & Breakfast,Entire home/apt,3,4,2,2,22,5,233,6,4,3.6,22,21,28,148,0,1,587,strict_14_with_grace_period,40.89751615,-73.78511675,1,12,303
Loft,Entire home/apt,2,4,4,3,26,5,247,11,4,1,4,4,72,284,1,1,1466,strict_14_with_grace_period,40.855412,-73.86249636,3,16,360
House,Entire home/apt,9,2,4,3,46,1,327,13,5,3.5,21,24,0,203,0,1,370,moderate,40.67388261,-73.92816171,4,33,353
Apartment,Entire home/apt,4,2,1,1,11,7,197,6,4,2.4,4,36,29,294,1,1,1157,strict,40.76824379,-73.7651499,4,6,279
Townhouse,Entire home/apt,5,1,3,3,46,2,617,6,4,3.2,14,29,70,292,0,1,2831,moderate,40.80122247,-73.91874319,3,42,447
Condominium,Private room,8,3,3,2,35,3,547,14,2,1.2,12,37,10,159,1,1,2723,moderate,40.60932127,-73.94557879,2,41,280
Bed & Breakfast,Entire home/apt,2,3,2,2,26,9,761,11,2,0.7,2,9,34,170,0,1,2010,flexible,40.74271742,-73.84321344,1,37,269
House,Entire home/apt,6,2,5,6,24,1,129,11,2,1.7,5,1,55,272,0,1,353,strict,40.86870037,-73.98742355,3,0,347
Townhouse,Private room,3,1,5,6,47,2,292,10,1,2.9,26,28,4,96,1,1,2246,flexible,40.80424061,-73.75143137,1,18,304
